subject_id,session_label,data_no_PE_dirs,data_no_b0_vols,data_no_dw_vols,data_no_shells,data_protocol,data_unique_bvals,data_unique_pes,data_vox_size,qc_mot_abs,qc_mot_rel,qc_outliers_pe,qc_outliers_tot,avg_x_trans,avg_y_trans,avg_z_trans,avg_x_rot_rad,avg_y_rot_rad,avg_z_rot_rad,std_dev_ec_x,std_dev_ec_y,std_dev_ec_z,avg_snr_0,std_snr_0,avg_cnr_1000,std_cnr_1000,outliers_bval_1000
sub-01,ses-Y1CMH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.21,0.17,0.0466200466,0.0505050505,-0.0105378391,0.0787253357,-0.0841981082,-0.0003187525,0.0003149071,-0.0005566754,0.0217929464,0.0159389681,0.012242157,48.0200004578,37.2099990845,2.1900000572,1.3600000143,0.0505050505
sub-03,ses-Y1CMH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.35,0.12,0.0699300699,0.0757575758,0.0502491596,0.3096730798,-0.0296672692,0.0013008977,0.0001382436,0.0001112622,0.005871243,0.00821958,0.0237315681,47.3100013733,37.0699996948,2.5199999809,1.5399999619,0.0757575758
sub-04,ses-Y1CMH,1,6,60,1,6 60,1000,1,2.0 2.0 2.0,0.3,0.15,0.0459136823,0.0505050505,-0.0623878261,-0.246277131,-0.0430858638,-0.0017362697,0.0010979366,0.0001156917,0.0255645445,0.033547934,0.0327976679,56.4599990845,36.7799987793,4.7899999619,2.9800000191,0.0505050505
sub-01,ses-Y1MRC,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.37,0.12,0.0466200466,0.0505050505,-0.0491699767,0.2163139903,-0.186964788,0.0033969734,0.0008072135,-0.0006042676,0.0053048326,0.0075912277,0.0236032789,36.0299987793,27.2800006866,2.0099999905,1.25,0.0505050505
sub-03,ses-Y1MRC,1,6,60,1,6 60,1000,1,2.0 1.9999998807907104 1.9999998807907104,0.44,0.16,0.1836547291,0.202020202,-0.0161344884,-0.3787049414,0.0228347759,-0.0027985482,-0.0004905301,2.30263438566667E-05,0.0258396912,0.0313256885,0.0288974297,61.7999992371,40.5400009155,4.5199999809,2.7699999809,0.202020202
sub-04,ses-Y1MRC,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.56,0.15,0.0466200466,0.0505050505,-0.3295864445,0.0551415707,-0.0752079033,0.0008393191,0.0002747751,-0.0059166657,0.0298766866,0.018119088,0.0160430707,43.0099983215,30.3400001526,2.2699999809,1.4199999571,0.0505050505
sub-01,ses-Y1ZHH,1,6,60,1,6 60,1000,1,1.9999998807907104 2.0 2.000002384185791,0.28,0.1,0.2754820937,0.303030303,-0.1228261506,-0.1248498557,0.0588450806,-0.0006408843,-0.0002346091,-0.0006870863,0.0084087796,0.0084186514,0.0095812549,55.0999984741,39.7599983215,3.5,2.3499999046,0.303030303
sub-03,ses-Y1ZHH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.18,0.18,0.0466200466,0.0505050505,0.0036004104,-0.00496338,0.0193815211,0.0004227374,-0.0008500871,0.0002988395,0.0165982431,0.0143436921,0.0115295323,48.4900016785,39.7999992371,2.1800000668,1.4199999571,0.0505050505
sub-04,ses-Y1ZHH,1,6,60,1,6 60,1000,1,2.15625 2.15625 2.0,0.21,0.08,0.2525252525,0.2777777778,0.0070491487,-0.1333591473,0.1288727937,-0.0020055531,0.0002512451,-6.7747546473697E-05,0.0136516427,0.0116070305,0.0077933342,57.9900016785,42.0800018311,4.3499999046,2.9700000286,0.2777777778
sub-01,ses-Y2CMH,1,6,60,1,6 60,1000,1,2.0 2.0 2.0,0.15,0.07,0.1228501229,0.1351351351,0.0210338814,-0.0812374518,0.0860594559,-0.0004338239,-0.0005267949,0.0001109715,0.0090323601,0.0178273998,0.0072863181,60.4500007629,48.2099990845,4.4600000381,3.0399999619,0.1351351351
sub-03,ses-Y2CMH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.53,0.19,0,0,-0.1516473072,0.1472003236,-0.3606797764,0.0047147219,0.0011445463,-0.0008174386,0.0228895195,0.0164317827,0.0124848962,48.3600006104,42.0600013733,2.2599999905,1.3999999762,0
sub-04,ses-Y2CMH,1,6,60,1,6 60,1000,1,2.0 2.0 2.0,0.74,0.22,0.0918273646,0.101010101,-0.0362396016,-0.3563701291,0.6047121614,-0.0053985821,0.0006503294,0.0003142249,0.0331079478,0.0380790577,0.0358978184,45.5400009155,30.1700000763,3.2000000477,1.9800000191,0.101010101
sub-01,ses-Y2MRC,1,6,60,1,6 60,1000,1,2.0 2.0 1.999999761581421,0.17,0.1,0.040950041,0.045045045,0.0078318331,-0.0716818599,0.0089747279,-0.0008010963,-0.0001693605,-0.0001088244,0.00764567,0.0162823615,0.0119192142,44.6199989319,31.1200008392,3.9100000858,2.5099999905,0.045045045
sub-03,ses-Y2MRC,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.54,0.18,0.1864801865,0.202020202,0.1614296025,0.247895829,0.294369806,0.0009132039,-0.0039546496,0.0017958147,0.0068681468,0.0087844457,0.024696308,39.2200012207,38.5,2.2699999809,1.3400000334,0.202020202
sub-04,ses-Y2MRC,1,6,60,1,6 60,1000,1,2.156250238418579 2.15625 2.000000476837158,0.25,0.1,0.0459136823,0.0505050505,0.0258568695,-0.0113544743,-0.1156063228,0.002821591,-0.0016285228,-0.0001096539,0.0110461721,0.0119775746,0.0147186579,52.3300018311,35.6100006104,4.6599998474,3,0.0505050505
sub-01,ses-Y2ZHH,1,6,60,1,6 60,1000,1,2.0 2.0 1.9999964237213135,0.44,0.13,0.0229568411,0.0252525253,-0.3832788986,-0.074292812,0.0641534763,0.0012618627,0.0005522881,-0.0027395801,0.0088854833,0.0114637805,0.0141352013,51.7299995422,36.3300018311,3.9400000572,2.5099999905,0.0252525253
sub-03,ses-Y2ZHH,1,6,60,1,6 60,1000,1,2.0 2.0 2.0,0.61,0.2,0,0,-0.0038437375,-0.4676393444,-0.0514433089,-0.0008655781,-0.0019894192,0.0001731483,0.0309533277,0.0438670212,0.0322391429,42.5800018311,32.7599983215,3.25,2.0199999809,0
sub-04,ses-Y2ZHH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.23,0.19,0.0932400932,0.101010101,0.0086568902,0.1298358281,0.0691348854,4.63919313259538E-05,-0.0008041346,0.0001368694,0.0155090305,0.0166207928,0.0114315335,46.4900016785,41.5299987793,2.4000000954,1.4900000095,0.101010101
sub-02,ses-Y3CMH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.41,0.19,0.0233100233,0.0252525253,0.2083157962,0.2097240682,0.0865162487,0.0015334578,0.000434623,0.0031720746,0.0306439474,0.0180177744,0.016315972,51.7799987793,47.3100013733,2.2300000191,1.3700000048,0.0252525253
sub-03,ses-Y3CMH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.74,0.15,0.2797202797,0.303030303,0.0844177111,0.4118108948,0.1812311521,0.008463966,0.0022231135,0.0008765446,0.0059908345,0.0089077893,0.0261443146,43.7400016785,46.2099990845,2.0499999523,1.2200000286,0.303030303
sub-04,ses-Y3CMH,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.48,0.14,0.0466200466,0.0505050505,0.23871145,0.2507601117,-0.0191104752,0.0035332172,-0.0026081314,0.0037412488,0.0071541878,0.0075140929,0.0227317085,38.9500007629,33.4000015259,2.3699998856,1.4800000191,0.0505050505
sub-02,ses-Y3MRP,1,6,60,1,6 60,1000,1,2.0 2.0 2.0,0.32,0.11,0.0459136823,0.0505050505,0.0728246167,-0.0065124813,-0.1952807094,0.0025472997,-0.0009969025,0.000878972,0.0088297576,0.0189304164,0.010094374,57.3699989319,43.4300003052,3.8399999142,2.6199998856,0.0505050505
sub-03,ses-Y3MRP,1,6,60,1,6 60,1000,1,2.0 2.0 2.0000007152557373,1.26,0.17,0.0459136823,0.0505050505,-1.1433804527,-0.1703287036,0.2766099727,0.000982964,0.0019869255,-0.0126104884,0.0060222714,0.0099807507,0.0090785927,40.9500007629,31.6700000763,2.4900000095,1.6699999571,0.0505050505
sub-04,ses-Y3MRP,1,6,60,1,6 60,1000,1,2.15625 2.15625 2.0000030994415283,0.21,0.09,0.0229568411,0.0252525253,-0.0084968522,-0.1341896744,0.0258366381,0.0007730625,-0.0001594768,-0.0002448154,0.0097541421,0.0088569047,0.0122766122,51.5299987793,39.3199996948,4.5399999619,3.1400001049,0.0252525253
sub-02,ses-Y3ZHP,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.58,0.22,0.0233100233,0.0252525253,0.0906573839,0.1159323706,-0.0985041188,0.0081964956,-0.001264375,0.0035073081,0.016635347,0.0150479021,0.0133762033,39.1599998474,31.8299999237,2.0599999428,1.3400000334,0.0252525253
sub-03,ses-Y3ZHP,1,6,60,1,6 60,1000,1,2.0 2.0 2.0,0.47,0.19,0.0459136823,0.0505050505,0.0515340203,-0.3778133433,0.0189289361,-0.0010999202,-0.0003147662,0.0009071509,0.0266746866,0.0376473624,0.0334204454,46.0800018311,34.0600013733,3.4100000858,2.1600000858,0.0505050505
sub-04,ses-Y3ZHP,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.44,0.13,0.0233100233,0.0252525253,0.0896254224,0.2705609974,-0.2533629599,0.002315098,-7.92762261324615E-05,0.0012622621,0.0068976225,0.0077345361,0.0246783167,35.9099998474,31.7700004578,2,1.2599999905,0.0252525253
sub-02,ses-Y4CMP,1,6,60,1,6 60,1000,1,2.0 2.0 2.0,0.47,0.2,0.0459136823,0.0505050505,0.0434080529,-0.3255702858,-0.0234540238,-0.0036824118,-0.0011767381,0.000977186,0.0274686537,0.0349578704,0.0368431375,53.7700004578,39.7999992371,3.5,2.2300000191,0.0505050505
sub-03,ses-Y4CMP,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.36,0.18,0.0233100233,0.0252525253,0.0152758716,0.0960113319,-0.2331007355,0.0032640195,-0.0005297115,0.0020589422,0.0269175811,0.0173125429,0.0144483883,48.2999992371,40.9099998474,2.2699999809,1.4600000381,0.0252525253
sub-04,ses-Y4CMP,1,5,60,1,5 60,1000,1,2.0 2.0 2.0,0.26,0.17,0,0,0.0346850934,0.0549527193,0.1397266846,-0.0018596582,-0.0013938339,0.00031242,0.022475148,0.0161771099,0.0116547058,54.7700004578,47.2599983215,2.2999999523,1.5,0
