subject_id,session_label,year,scanner,qc_mot_abs,qc_mot_rel,avg_snr_0,std_snr_0,avg_cnr_1000,std_cnr_1000,outliers_bval_1000
sub-01,ses-Y1CMH,Y1,CMH,0.21,0.17,48.0200004578,37.2099990845,2.1900000572,1.3600000143,0.0505050505
sub-03,ses-Y1CMH,Y1,CMH,0.35,0.12,47.3100013733,37.0699996948,2.5199999809,1.5399999619,0.0757575758
sub-04,ses-Y1CMH,Y1,CMH,0.3,0.15,56.4599990845,36.7799987793,4.7899999619,2.9800000191,0.0505050505
sub-01,ses-Y1MRC,Y1,MRC,0.37,0.12,36.0299987793,27.2800006866,2.0099999905,1.25,0.0505050505
sub-03,ses-Y1MRC,Y1,MRC,0.44,0.16,61.7999992371,40.5400009155,4.5199999809,2.7699999809,0.202020202
sub-04,ses-Y1MRC,Y1,MRC,0.56,0.15,43.0099983215,30.3400001526,2.2699999809,1.4199999571,0.0505050505
sub-01,ses-Y1ZHH,Y1,ZHH,0.28,0.1,55.0999984741,39.7599983215,3.5,2.3499999046,0.303030303
sub-03,ses-Y1ZHH,Y1,ZHH,0.18,0.18,48.4900016785,39.7999992371,2.1800000668,1.4199999571,0.0505050505
sub-04,ses-Y1ZHH,Y1,ZHH,0.21,0.08,57.9900016785,42.0800018311,4.3499999046,2.9700000286,0.2777777778
sub-01,ses-Y2CMH,Y2,CMH,0.15,0.07,60.4500007629,48.2099990845,4.4600000381,3.0399999619,0.1351351351
sub-03,ses-Y2CMH,Y2,CMH,0.53,0.19,48.3600006104,42.0600013733,2.2599999905,1.3999999762,0
sub-04,ses-Y2CMH,Y2,CMH,0.74,0.22,45.5400009155,30.1700000763,3.2000000477,1.9800000191,0.101010101
sub-01,ses-Y2MRC,Y2,MRC,0.17,0.1,44.6199989319,31.1200008392,3.9100000858,2.5099999905,0.045045045
sub-03,ses-Y2MRC,Y2,MRC,0.54,0.18,39.2200012207,38.5,2.2699999809,1.3400000334,0.202020202
sub-04,ses-Y2MRC,Y2,MRC,0.25,0.1,52.3300018311,35.6100006104,4.6599998474,3,0.0505050505
sub-01,ses-Y2ZHH,Y2,ZHH,0.44,0.13,51.7299995422,36.3300018311,3.9400000572,2.5099999905,0.0252525253
sub-03,ses-Y2ZHH,Y2,ZHH,0.61,0.2,42.5800018311,32.7599983215,3.25,2.0199999809,0
sub-04,ses-Y2ZHH,Y2,ZHH,0.23,0.19,46.4900016785,41.5299987793,2.4000000954,1.4900000095,0.101010101
sub-02,ses-Y3CMH,Y3,CMH,0.41,0.19,51.7799987793,47.3100013733,2.2300000191,1.3700000048,0.0252525253
sub-03,ses-Y3CMH,Y3,CMH,0.74,0.15,43.7400016785,46.2099990845,2.0499999523,1.2200000286,0.303030303
sub-04,ses-Y3CMH,Y3,CMH,0.48,0.14,38.9500007629,33.4000015259,2.3699998856,1.4800000191,0.0505050505
sub-02,ses-Y3MRP,Y3,MRP,0.32,0.11,57.3699989319,43.4300003052,3.8399999142,2.6199998856,0.0505050505
sub-03,ses-Y3MRP,Y3,MRP,1.26,0.17,40.9500007629,31.6700000763,2.4900000095,1.6699999571,0.0505050505
sub-04,ses-Y3MRP,Y3,MRP,0.21,0.09,51.5299987793,39.3199996948,4.5399999619,3.1400001049,0.0252525253
sub-02,ses-Y3ZHP,Y3,ZHP,0.58,0.22,39.1599998474,31.8299999237,2.0599999428,1.3400000334,0.0252525253
sub-03,ses-Y3ZHP,Y3,ZHP,0.47,0.19,46.0800018311,34.0600013733,3.4100000858,2.1600000858,0.0505050505
sub-04,ses-Y3ZHP,Y3,ZHP,0.44,0.13,35.9099998474,31.7700004578,2,1.2599999905,0.0252525253
sub-02,ses-Y4CMP,Y4,CMP,0.47,0.2,53.7700004578,39.7999992371,3.5,2.2300000191,0.0505050505
sub-03,ses-Y4CMP,Y4,CMP,0.36,0.18,48.2999992371,40.9099998474,2.2699999809,1.4600000381,0.0252525253
sub-04,ses-Y4CMP,Y4,CMP,0.26,0.17,54.7700004578,47.2599983215,2.2999999523,1.5,0
